crime_type,severity,latitude,longitude
High Severity Area,10,28.543219,77.21298
High Severity Area,10,28.52341,77.164468
High Severity Area,10,28.528403,77.140771
High Severity Area,10,28.56387,77.191688
High Severity Area,10,28.594683,77.215446
High Severity Area,8,28.536721,77.143048
High Severity Area,8,28.526938,77.167214
High Severity Area,8,28.523081,77.153185
High Severity Area,8,28.566605,77.158248
High Severity Area,8,28.543009,77.172054
High Severity Area,6,28.573619,77.172681
High Severity Area,6,28.544678,77.194707
High Severity Area,6,28.534115,77.140884
High Severity Area,6,28.576236,77.188022
High Severity Area,6,28.56649,77.191612
High Severity Area,4,28.5392,77.152499
High Severity Area,4,28.552975,77.1517
High Severity Area,4,28.542863,77.181746
High Severity Area,4,28.558064,77.172399
High Severity Area,4,28.546073,77.159348
High Severity Area,2,28.548484,77.159641
High Severity Area,2,28.543939,77.173302
High Severity Area,2,28.559691,77.162156
High Severity Area,2,28.550373,77.163776
High Severity Area,2,28.552918,77.160296
High Severity Area,10,28.574576,77.159196
High Severity Area,10,28.546006,77.131615
High Severity Area,10,28.616355,77.173807
High Severity Area,10,28.595744,77.156551
High Severity Area,10,28.574219,77.120654
High Severity Area,8,28.57257,77.139439
High Severity Area,8,28.616064,77.189818
High Severity Area,8,28.564133,77.187744
High Severity Area,8,28.568008,77.149165
High Severity Area,8,28.568841,77.137653
High Severity Area,6,28.561968,77.148331
High Severity Area,6,28.576883,77.190515
High Severity Area,6,28.566733,77.182188
High Severity Area,6,28.584035,77.151513
High Severity Area,6,28.595133,77.151775
High Severity Area,4,28.604454,77.164519
High Severity Area,4,28.595402,77.172592
High Severity Area,4,28.573537,77.167391
High Severity Area,4,28.579255,77.179018
High Severity Area,4,28.583098,77.16421
High Severity Area,2,28.591745,77.153291
High Severity Area,2,28.594836,77.152717
High Severity Area,2,28.588506,77.167794
High Severity Area,2,28.589018,77.163152
High Severity Area,2,28.587726,77.152169
High Severity Area,10,28.605401,77.200827
High Severity Area,10,28.55019,77.128499
High Severity Area,10,28.578715,77.157179
High Severity Area,10,28.561048,77.190066
High Severity Area,10,28.59808,77.145306
High Severity Area,8,28.607563,77.18192
High Severity Area,8,28.551689,77.15876
High Severity Area,8,28.58248,77.198723
High Severity Area,8,28.569537,77.184307
High Severity Area,8,28.574448,77.134038
High Severity Area,6,28.606729,77.155053
High Severity Area,6,28.598865,77.159407
High Severity Area,6,28.595312,77.144474
High Severity Area,6,28.567687,77.185034
High Severity Area,6,28.579624,77.161259
High Severity Area,4,28.585773,77.167345
High Severity Area,4,28.584594,77.16002
High Severity Area,4,28.584926,77.16756
High Severity Area,4,28.585884,77.170799
High Severity Area,4,28.593269,77.172915
High Severity Area,2,28.584996,77.176935
High Severity Area,2,28.595472,77.167508
High Severity Area,2,28.581523,77.175859
High Severity Area,2,28.582207,77.173331
High Severity Area,2,28.580472,77.166574
High Severity Area,10,28.595875,77.178254
High Severity Area,10,28.596562,77.246838
High Severity Area,10,28.653685,77.242014
High Severity Area,10,28.614535,77.26161
High Severity Area,10,28.670993,77.189278
High Severity Area,8,28.636888,77.197576
High Severity Area,8,28.662912,77.177875
High Severity Area,8,28.643321,77.19781
High Severity Area,8,28.603127,77.234187
High Severity Area,8,28.65961,77.207216
High Severity Area,6,28.633466,77.212266
High Severity Area,6,28.666523,77.205553
High Severity Area,6,28.617503,77.235906
High Severity Area,6,28.641913,77.238119
High Severity Area,6,28.61791,77.185518
High Severity Area,4,28.64875,77.214556
High Severity Area,4,28.629783,77.229679
High Severity Area,4,28.644143,77.216827
High Severity Area,4,28.659493,77.201379
High Severity Area,4,28.661453,77.209008
High Severity Area,2,28.63601,77.204484
High Severity Area,2,28.633819,77.20816
High Severity Area,2,28.632947,77.211187
High Severity Area,2,28.64337,77.212377
High Severity Area,2,28.63257,77.20578
High Severity Area,10,28.488947,77.159923
High Severity Area,10,28.491142,77.199874
High Severity Area,10,28.494248,77.217218
High Severity Area,10,28.474945,77.219204
High Severity Area,10,28.514727,77.162955
High Severity Area,8,28.498105,77.135387
High Severity Area,8,28.484671,77.161004
High Severity Area,8,28.499568,77.158434
High Severity Area,8,28.517811,77.191669
High Severity Area,8,28.483084,77.15298
High Severity Area,6,28.512199,77.180889
High Severity Area,6,28.498864,77.162986
High Severity Area,6,28.496583,77.155143
High Severity Area,6,28.488544,77.161983
High Severity Area,6,28.489452,77.184282
High Severity Area,4,28.503532,77.191488
High Severity Area,4,28.498868,77.159343
High Severity Area,4,28.511587,77.163942
High Severity Area,4,28.490612,77.187631
High Severity Area,4,28.495252,77.18315
High Severity Area,2,28.508137,77.179199
High Severity Area,2,28.512461,77.167868
High Severity Area,2,28.499971,77.178896
High Severity Area,2,28.509304,77.174772
