Location,latitude,longitude
"Nelson Mandela Marg, Delhi",28.5534129,77.1663624
"Dhaula Kuan, Delhi",28.5918719,77.1617158
"Benito Juarez Marg, Delhi",28.5889066,77.1689101
"Paharganj, Delhi",28.6414989,77.2140607
"Mehrauli - Gurgaon Road, Delhi",28.5048806,77.1737988
"Ghitorni Metro Station, Delhi",28.4935795,77.1492863
"Sarita Vihar, Delhi",28.5334785,77.2935232
"Karol Bagh, Delhi",28.6529982,77.1890227
"Lado Sarai, Delhi",28.5254347,77.1920657
"Mathura Road and bypass leading to Surajkund, Delhi",28.557163,77.163665
"Jasola Vihar, Delhi",28.5427353,77.2913342
"Kalyanpuri, Delhi",28.6194913,77.31795786
"Bhogal, Delhi",28.58290555,77.24878734
"Mehrauli Badarpur Road, Delhi",28.5193646,77.2075784
"Noida Sector 53, Noida",28.61283205,77.3779108
"Vinod Nagar, Delhi",28.623803,77.29837774
"Vasant Kunj Marg, Delhi",28.5288156,77.1576149
"Trilokpuri, Delhi",28.60564725,77.30664823
"Vikaspuri, Delhi",28.638643,77.0731382
"Karawal Nagar, Delhi",28.7311406,77.2747898
"Priya cinema parking lot, Delhi",28.558553,77.158103
"Vasundhara, Ghaziabad",28.6619725,77.3732972
"Vaishali, Ghaziabad",28.6496701,77.339575
"Sultanpur, Delhi",28.4991235,77.1613745
"Aruna Asaf Ali Marg, Delhi",28.5447707,77.1784421
"Africa Avenue, Delhi",28.5646167,77.1890031
"Vasant Kunj, Delhi",28.5292495,77.1541335
"Noida Sector 5, Noida",28.5454771,77.3318649
"Noida Sector 12, Noida",28.5454771,77.3318649
"Noida Sector 27, Noida",28.5725485,77.3095342
"Noida Sector 32, Noida",28.5747334,77.3561638
"Noida Sector 34, Noida",28.5802538,77.3634917
"Noida Sector 37, Noida",28.5609423,77.3360564
"Noida Sector 50, Noida",28.5743583,77.3782348
"Noida Sector 71, Noida",28.5903039,77.3776042
"Kalindi Kunj Road, Delhi",28.5643613,77.2878315
"Palam Vihar, Gurgaon",28.5115656,77.04317468
"Naraina, Delhi",28.6264562,77.1349668
"Sarita Vihar, Delhi",28.5334785,77.2935232
"Badarpur border, Delhi",28.493283,77.30336567
"Mithapur, Faridabad",28.417987,77.307538
"Chattarpur, Delhi",28.503846,77.183032
"Ignou Road, Delhi",28.5021901,77.1979793
"Neb Sarai, Delhi",28.5055007,77.2014964
"Priyadarshini Vihar, Delhi",28.6913861,77.1935229
"Tughlakabad, Delhi",28.5034421,77.2970508
"Seelampur, Delhi",28.6698165,77.2668137
"Kamla Nehru Ridge Forest Area, Delhi",28.680729,77.218266
"Nithari Village, Noida",28.563662,77.289055
"Khandsa Road, Gurgaon",28.4533282,77.0195396
"Muhammadpur, Gurgaon",28.02861,76.95694
"Narsinghpur, Gurgaon",28.4135,76.9942
"Vande Mataram Marg, Delhi",28.5994075,77.1671267
"Badhshahpur, Gurgaon",28.39889,77.054548
"Pandav Nagar, Delhi",28.619553,77.2830355
"Farukhnagar, Gurgaon",28.459647,77.061922
"Peeragarhi, Delhi",28.67731415,77.09310244
"Jheel Park, Delhi",28.58771545,77.16013314
"Sector 14 metro station, Dwarka",28.6202394,77.026236
"Sector 11, Dwarka",28.58955135,77.04999826
"Sector 12, Dwarka",28.5956058,77.04303844
"National Park - Amar Colony, Delhi",28.562861,77.238
"Jisop Broz Tito Marg, Delhi",28.551266,77.22833
"AIT Chowk - Sector 55, Gurgaon",28.430442,77.105761
"Sikandarpur Metro Station, Gurgaon",28.480418,77.094391
"Sikandarpur, Gurgaon",28.479694,77.1064
"Lakshmi Nagar, Delhi",28.637285,77.279135
"Jahangirpuri, Delhi",28.7259717,77.162658
"Sector 2, Faridabad",28.3899238,77.3366312
"Sector 16, Faridabad",28.40904245,77.32232583
"Raghubir Nagar, Delhi",28.6565574,77.1122381
"Adarsh Nagar, Delhi",28.7165805,77.1704223
"Shahadara, Delhi",28.682729,77.27551
"Rithala Metro Station, Delhi",28.589175,77.302504
"Mangolpuri, Delhi",28.6873187,77.0960253
"Gwal Pahari, Gurgaon",28.4345071,77.14465263
"Arjangarh, Delhi",28.4787294,77.1209508
"Katwarai Sarai, Delhi",28.542299,77.187385
"Aya Nagar, Gurgaon",28.4797782,77.12472
"Ratiya Marg, Delhi",28.627726,77.232013
"Dwarka Sector 8 metro station, Delhi",28.637232,77.09944
"Dwarka Sector 9 metro station, Delhi",28.708039,77.19096
"Manglapuri, Delhi",28.58931005,77.08762965
"Kapashera Najafgarh Road, Delhi",28.6097884,76.9823947
"100 foot road, Delhi",28.5577103,77.2943878
"Sultanpur Metro Station, Delhi",28.4992862,77.1609111
"Keshopur Road, Delhi",28.593233,77.063114
"Shadipur Metro station, Delhi",28.589175,77.302504
"National Park (Amar Colony), Delhi",28.560967,77.236781
"Asola village, Delhi",28.563662,77.289055
"Jagatpur, Delhi",28.7211162,77.223995
"Madangiri, Delhi",28.520219,77.230501
"Govindpuri, Delhi",28.5351561,77.2637936
Subhash nagar,28.63657,77.118634
Outer circle cp,28.63577,77.219227
Govindtown,28.716306,77.315685
Rajnagar,28.680755,77.47045
